,id,address,twitterUsername,twitterName,twitterPfpUrl,twitterUserId,ftUsername,ftName,ftPfpUrl,lastOnline,lastMessageTime,holderCount,holdingCount,watchlistCount,followerCount,followingCount,shareSupply,displayPrice,netBuy,lifetimeFeesCollectedInWei,userBio,rank,message,cluster_kmeans
0,642120.0,0x51396d7fae25d68bda9f0d004c44dcd696ee5d19,,,,,joeblow,Joe Blow,https://d3egfmvgqzu76k.cloudfront.net/pfp-images/0x51396d7fae25d68bda9f0d004c44dcd696ee5d19/35902111k50s1icebw?Expires=1822099004&Key-Pair-Id=K11ON08J8XW8N0&Signature=OMWIjuV0ZMQonE4nXH-2a2lk9L4L0OOkQ8z~7ZdIpBbpEYLrM5OMODYZ75rP3DVEyObv6BIgaHbqHqMa~oi9SWJrsfXOuHFT~aaR~HMOy8ObBBhEO1oV5M0yYwW1Su6~53Arnwh1saGsMl6ECeVFd7~lk5DJrmZabywW0VNsUgJu0d7V1nF0zCv7vjRqnsKRp1AZXrDRS1RlCkoveTq~WhpKJw8mgnNMoOIFLk96nhTy6wzaGGQqBgLZQD9GD4ruwZ0I3PyAp7y0R6VBzBaIubCNv6Ok48EGc4QucLuaqcZdjXJmHol3IGOCiMvp~wrmQHhvKuXFtJoWQ5cQMoYCwQ__,1714911598489,0.0,8.0,27.0,68.0,68.0,27.0,31.0,60062500000000000,0,0,a monkey,271,,2.0
1,59868.0,0x4d57fecc667307159be3fd6340cadfcf86016fb9,therealOGedeon,Osama Gedeon,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x4d57fecc667307159be3fd6340cadfcf86016fb9.jpg?Expires=1822099004&Key-Pair-Id=K11ON08J8XW8N0&Signature=AgjsJijO4u1uNaQsSg3FiWq~fwgj3BbJca82~pvi5-69QuYxOvJ2j4zDyaf23hUAtkMeNSEwbviSUqchG5PXc5nW5vf4-k23EoXtSbvZnkA5TKiuIMpce7T3NEBx1zyA1aqW5ZawmXGsC0DUwsb0FtpDKzUOSbGaQV6UIGElvHQ46mfL0cSFGEZoukP9RRZ-0U6dHgAXKqnJ4LDWqAAbXcaR-17Q23knPwF8IVRXFg0f4C-DEW~PgSb~Ex24CGksyHDZadrf5GEhkfQ091CuAlvUT4G8L~Ia5XINVEU8J5bZuM72KW5N~IqDRJRGj5-yx7b1HIBwAsRxPWl35871rQ__,1259111349050802177,therealOGlampin,AlwaysLampin,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x4d57fecc667307159be3fd6340cadfcf86016fb9.jpg?Expires=1822099004&Key-Pair-Id=K11ON08J8XW8N0&Signature=AgjsJijO4u1uNaQsSg3FiWq~fwgj3BbJca82~pvi5-69QuYxOvJ2j4zDyaf23hUAtkMeNSEwbviSUqchG5PXc5nW5vf4-k23EoXtSbvZnkA5TKiuIMpce7T3NEBx1zyA1aqW5ZawmXGsC0DUwsb0FtpDKzUOSbGaQV6UIGElvHQ46mfL0cSFGEZoukP9RRZ-0U6dHgAXKqnJ4LDWqAAbXcaR-17Q23knPwF8IVRXFg0f4C-DEW~PgSb~Ex24CGksyHDZadrf5GEhkfQ091CuAlvUT4G8L~Ia5XINVEU8J5bZuM72KW5N~IqDRJRGj5-yx7b1HIBwAsRxPWl35871rQ__,1718628676248,1718622295582.0,3.0,24.0,70.0,70.0,29.0,6.0,2249999999999999.8,0,0,,15073,,1.0
2,11496.0,0xdb4831193213dd2827100c3a1cea6c0c0e09db0a,Blockchain_C,Blockchain Capital Partners,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xdb4831193213dd2827100c3a1cea6c0c0e09db0a.jpg?Expires=1822099004&Key-Pair-Id=K11ON08J8XW8N0&Signature=Q2yYI-R5G7nnMNaW4804a2qVBJPOWcVpxWYsi9vvhbsUX2~tOjDgWHBkQDBIeqzpJ2DiH-KOqVpI2tAC-mjzs4X9nowaPWjnvNtBjBG-zKj5eGC8LmWgu7O-xWtdNG4ri1YfhzC13mCYLwSyVwR3PK0es4SCV9g5Bg0Jm-ONxq8ChpNyx5C9KJBzWjWqOsSwFWCWjjgXpYinzbczc5OEMPyrmaqvG~IIbyMxGIG-Odr1oGFbkLpszlkihSwgnSdMWSPsqxFoU-AZtGDgsPIE4l6NST1U-VFCD5xR0sKAFGSoNCHjPhnN8kU9eH7iADbnDN2wmNcDrt7hD7nUcP1~eA__,939219780929699840,Blockchain_C,Blockchain Capital Partners,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xdb4831193213dd2827100c3a1cea6c0c0e09db0a.jpg?Expires=1822099004&Key-Pair-Id=K11ON08J8XW8N0&Signature=Q2yYI-R5G7nnMNaW4804a2qVBJPOWcVpxWYsi9vvhbsUX2~tOjDgWHBkQDBIeqzpJ2DiH-KOqVpI2tAC-mjzs4X9nowaPWjnvNtBjBG-zKj5eGC8LmWgu7O-xWtdNG4ri1YfhzC13mCYLwSyVwR3PK0es4SCV9g5Bg0Jm-ONxq8ChpNyx5C9KJBzWjWqOsSwFWCWjjgXpYinzbczc5OEMPyrmaqvG~IIbyMxGIG-Odr1oGFbkLpszlkihSwgnSdMWSPsqxFoU-AZtGDgsPIE4l6NST1U-VFCD5xR0sKAFGSoNCHjPhnN8kU9eH7iADbnDN2wmNcDrt7hD7nUcP1~eA__,1721361260759,1712930295645.0,11.0,22.0,424.0,424.0,21.0,25.0,35999999999999996,0,0,,553,,1.0
3,155168.0,0xe676a4587e853c0b4166bdd53400fadf535799f6,misterblue2000,Mister Blue,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xe676a4587e853c0b4166bdd53400fadf535799f6.jpg?Expires=1822099005&Key-Pair-Id=K11ON08J8XW8N0&Signature=e5rJwoaqpCJ8seAyWsEPbNoI-Nrp9fn36knfMfR1YfJzCsIQ550Z3O1QTD~RKUDbfJ6~3tAFthhmi1PpvhXk4ZLJ7xgNTa6jQ8qSRM8S1kKxcaA6nqetcXqJAhz~-lrycmZr0c3lCGMsyuzYGP7nvHlXzb9FcpZWdTPA-q6OlIZatui7RsSI2o3B6QpZp2-pkCim4hGZ93PlDTXJ3rfGfigQgqG8zJQJV5hfRm6EC-XXE7fiH9E~1UtM970J79JiBZ6AJI8JBGJ~X4vZ~DG-qrPICtkeo2b~M1~n7XD32eyu-DF9BEVWkquc3PCMfUKb8IzTwHdrgJDsmvD-jl0mYw__,786753924111798272,misterblue2000,Mister Blue,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0xe676a4587e853c0b4166bdd53400fadf535799f6.jpg?Expires=1822099005&Key-Pair-Id=K11ON08J8XW8N0&Signature=e5rJwoaqpCJ8seAyWsEPbNoI-Nrp9fn36knfMfR1YfJzCsIQ550Z3O1QTD~RKUDbfJ6~3tAFthhmi1PpvhXk4ZLJ7xgNTa6jQ8qSRM8S1kKxcaA6nqetcXqJAhz~-lrycmZr0c3lCGMsyuzYGP7nvHlXzb9FcpZWdTPA-q6OlIZatui7RsSI2o3B6QpZp2-pkCim4hGZ93PlDTXJ3rfGfigQgqG8zJQJV5hfRm6EC-XXE7fiH9E~1UtM970J79JiBZ6AJI8JBGJ~X4vZ~DG-qrPICtkeo2b~M1~n7XD32eyu-DF9BEVWkquc3PCMfUKb8IzTwHdrgJDsmvD-jl0mYw__,1720753129021,1715690277407.0,14.0,121.0,513.0,513.0,126.0,21.0,27562500000000000,0,0,"""Top 10 Blur farmer \n\nTop 50 FriendTech points leader\n\n30% of airdrop goes to holders """,769,,1.0
4,12172.0,0xfb3aa66460b6caac9ec4fb2771422abe88db10dd,CryptoOmen,Pulla,https://pbs.twimg.com/profile_images/1658798271647694849/tBnob6ys.jpg,875363625107693570,CryptoOmen,Pulla,https://pbs.twimg.com/profile_images/1658798271647694849/tBnob6ys.jpg,1722047177717,1716352146666.0,8.0,76.0,117.0,117.0,98.0,12.0,8999999999999999,0,0,,3294,,1.0
5,157377.0,0x0bf172b38219476d57cd3ea8bf233932dec548b9,pruggle1,King Pruggle,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0bf172b38219476d57cd3ea8bf233932dec548b9.jpg?Expires=1822099005&Key-Pair-Id=K11ON08J8XW8N0&Signature=lS2~QYLY~aPUnIWzLC12srkX4razLfS~PVv~cpyMWFvIdw05rubmlsHyla3PpEwy6T~jmXGPznaDARdCEfZNJZAOOHIa-0Y~b3WkM2uhtKuGDAqbQ-gtpzOGkCYw1nxV5T-XHamPPyhp2CjJc01fEsNNsm-LmGYyOeCMkftqYKgLIW071nzhG~ATxQ7YclpltJWP0tZv7y39ldYzljEIf4bl8KFkA43DXGFdTXj0lNr0LAq5gDMMGfi7t6GvQWQ2XmhFeK0FQov09oGnCPM76t96d8Bf1MAgqFkzOfHKKvzcrBj-XuMVTjg11eWCoa82ZuzkUKkcQU7K4RNbrHcd8A__,933526690034307072,pruggle1,King Pruggle,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0bf172b38219476d57cd3ea8bf233932dec548b9.jpg?Expires=1822099005&Key-Pair-Id=K11ON08J8XW8N0&Signature=lS2~QYLY~aPUnIWzLC12srkX4razLfS~PVv~cpyMWFvIdw05rubmlsHyla3PpEwy6T~jmXGPznaDARdCEfZNJZAOOHIa-0Y~b3WkM2uhtKuGDAqbQ-gtpzOGkCYw1nxV5T-XHamPPyhp2CjJc01fEsNNsm-LmGYyOeCMkftqYKgLIW071nzhG~ATxQ7YclpltJWP0tZv7y39ldYzljEIf4bl8KFkA43DXGFdTXj0lNr0LAq5gDMMGfi7t6GvQWQ2XmhFeK0FQov09oGnCPM76t96d8Bf1MAgqFkzOfHKKvzcrBj-XuMVTjg11eWCoa82ZuzkUKkcQU7K4RNbrHcd8A__,1722073670101,1721917697455.0,17.0,80.0,923.0,923.0,138.0,19.0,22562500000000000,0,0,"""because life is a struggle""",1029,,1.0
6,3621.0,0x0d05ca72488f4241bf34e13b191f0d13f329af8b,ThinkingOLA,Semantics,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0d05ca72488f4241bf34e13b191f0d13f329af8b.jpg?Expires=1822099005&Key-Pair-Id=K11ON08J8XW8N0&Signature=LGbXpt0xp29FJ2UPc0-d2LsYg63OBBvnIsw6vN9fcnioZ4-vl4SpqlfNORRSRIDNGTvT-D~M6My3us6VRSE7A84mpyE~z5kXjFZM6X84hiHg8tLABldu6BP6x7WRPamv8Bzfiz10mKLWHmq~DRVq3nU22K2TghJytCc-IJlT9dyt2Cyr1N7sytrgEQ9-XWIH5WTWpux6iRkxxdTFKXU5u6-oaNs3GDOp7-w7lM3fOVaXijPyxiRmpnNeECjfLUUMmDRfiC9EpGWNtONjA2RUS7zhpHuyrpohnbNCmixLulnBEVQMf432vVWyjGsLQP66Et3B0I-s75rAFfkH~OqYXA__,3179573444,ThinkingOLA,Semantics,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x0d05ca72488f4241bf34e13b191f0d13f329af8b.jpg?Expires=1822099005&Key-Pair-Id=K11ON08J8XW8N0&Signature=LGbXpt0xp29FJ2UPc0-d2LsYg63OBBvnIsw6vN9fcnioZ4-vl4SpqlfNORRSRIDNGTvT-D~M6My3us6VRSE7A84mpyE~z5kXjFZM6X84hiHg8tLABldu6BP6x7WRPamv8Bzfiz10mKLWHmq~DRVq3nU22K2TghJytCc-IJlT9dyt2Cyr1N7sytrgEQ9-XWIH5WTWpux6iRkxxdTFKXU5u6-oaNs3GDOp7-w7lM3fOVaXijPyxiRmpnNeECjfLUUMmDRfiC9EpGWNtONjA2RUS7zhpHuyrpohnbNCmixLulnBEVQMf432vVWyjGsLQP66Et3B0I-s75rAFfkH~OqYXA__,1721923321889,1721525555372.0,12.0,54.0,163.0,163.0,119.0,20.0,25000000000000000,0,0,,878,,1.0
7,35916.0,0x0e4d22f348839d0a40b10abce49847deb3c26839,dyltrig,🧲 DylT🆁ig 🧲,https://pbs.twimg.com/profile_images/878258048187252736/YdCsGIa5.jpg,860028220267044864,dyltrig,🧲 DylT🆁ig 🧲,https://pbs.twimg.com/profile_images/878258048187252736/YdCsGIa5.jpg,1720397849806,1717287744038.0,10.0,34.0,123.0,123.0,33.0,11.0,7562500000000000,0,0,,4094,,2.0
8,596885.0,0x104a7b78db3ddfc6eb13137e45a888c36ed39af9,lternate_acc,find a new slant,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x104a7b78db3ddfc6eb13137e45a888c36ed39af9.jpg?Expires=1822099006&Key-Pair-Id=K11ON08J8XW8N0&Signature=R0JzNrpNkBpCASE8-nc5hVj5K~Zs0zySoi-cy1c115MNwwIOTmxesFvSN25E6otp3pSCtugr3Y8r06eTdxRXd6c2WdJdSaO8DlB~Bu1msRKK-AZ1YIbIneLmFTORgRPOfJE0w49W0~Hk6hzrHSTPrgJ5CsQSft6XjLIg1Hnj97GlHvpEeDpezDpyoDKrankZCR2P6m5T2WncwBBdTX5IEhojNvzewSkOGEullLTWV2wlFZETHL0WNGrwvf--7LTQWnEPipr2NJYgYiMwoKH79i3wI3KfECgo4Yl0abmVGPWbVkHu~pZBKgFNM6TEVKk3FEUzRBK7JJLSyI~46bxv1A__,1759276648451694592,lternate_acc,find a new slant,https://d3egfmvgqzu76k.cloudfront.net/twitterPfps/0x104a7b78db3ddfc6eb13137e45a888c36ed39af9.jpg?Expires=1822099006&Key-Pair-Id=K11ON08J8XW8N0&Signature=R0JzNrpNkBpCASE8-nc5hVj5K~Zs0zySoi-cy1c115MNwwIOTmxesFvSN25E6otp3pSCtugr3Y8r06eTdxRXd6c2WdJdSaO8DlB~Bu1msRKK-AZ1YIbIneLmFTORgRPOfJE0w49W0~Hk6hzrHSTPrgJ5CsQSft6XjLIg1Hnj97GlHvpEeDpezDpyoDKrankZCR2P6m5T2WncwBBdTX5IEhojNvzewSkOGEullLTWV2wlFZETHL0WNGrwvf--7LTQWnEPipr2NJYgYiMwoKH79i3wI3KfECgo4Yl0abmVGPWbVkHu~pZBKgFNM6TEVKk3FEUzRBK7JJLSyI~46bxv1A__,1719593175291,1711296288903.0,2.0,2.0,6.0,6.0,2.0,2.0,250000000000000,0,0,,87218,,2.0
9,46037.0,0x11f383f1f7a7b36364646b216785d7a851c3bc3d,PopcornKirby,Popcorn Kirby 🚀,https://pbs.twimg.com/profile_images/1609881885400010753/vfvOStjB.jpg,1161802324395741184,PopcornKirby,Popcorn Kirby 🚀,https://pbs.twimg.com/profile_images/1609881885400010753/vfvOStjB.jpg,1720274410656,1715012941539.0,14.0,25.0,138.0,138.0,36.0,19.0,22562500000000000,0,0,,1029,,2.0
